:IngredientName,IngredientType,Unit,Unit,Recipe
:Names,,"Config","Now","36_STD"
"Die Bolt 1",Message,"apc_mDB_Label1\Config","apc_mDB_Label1\Now","1"
"Die Bolt 2",Message,"apc_mDB_Label2\Config","apc_mDB_Label2\Now","2"
"Die Bolt 3",Message,"apc_mDB_Label3\Config","apc_mDB_Label3\Now","3"
"Die Bolt 4",Message,"apc_mDB_Label4\Config","apc_mDB_Label4\Now","4"
"Die Bolt 5",Message,"apc_mDB_Label5\Config","apc_mDB_Label5\Now","5"
"Die Bolt 6",Message,"apc_mDB_Label6\Config","apc_mDB_Label6\Now","6"
"Die Bolt 7",Message,"apc_mDB_Label7\Config","apc_mDB_Label7\Now","7"
"Die Bolt 8",Message,"apc_mDB_Label8\Config","apc_mDB_Label8\Now","8"
"Die Bolt 9",Message,"apc_mDB_Label9\Config","apc_mDB_Label9\Now","9"
"Die Bolt 10",Message,"apc_mDB_Label10\Config","apc_mDB_Label10\Now","10"
"Die Bolt 11",Message,"apc_mDB_Label11\Config","apc_mDB_Label11\Now","11"
"Die Bolt 12",Message,"apc_mDB_Label12\Config","apc_mDB_Label12\Now","12"
"Die Bolt 13",Message,"apc_mDB_Label13\Config","apc_mDB_Label13\Now","13"
"Die Bolt 14",Message,"apc_mDB_Label14\Config","apc_mDB_Label14\Now","14"
"Die Bolt 15",Message,"apc_mDB_Label15\Config","apc_mDB_Label15\Now","15"
"Die Bolt 16",Message,"apc_mDB_Label16\Config","apc_mDB_Label16\Now","16"
"Die Bolt 17",Message,"apc_mDB_Label17\Config","apc_mDB_Label17\Now","17"
"Die Bolt 18",Message,"apc_mDB_Label18\Config","apc_mDB_Label18\Now","18"
"Die Bolt 19",Message,"apc_mDB_Label19\Config","apc_mDB_Label19\Now","19"
"Die Bolt 20",Message,"apc_mDB_Label20\Config","apc_mDB_Label20\Now","20"
"Die Bolt 21",Message,"apc_mDB_Label21\Config","apc_mDB_Label21\Now","21"
"Die Bolt 22",Message,"apc_mDB_Label22\Config","apc_mDB_Label22\Now","22"
"Die Bolt 23",Message,"apc_mDB_Label23\Config","apc_mDB_Label23\Now","23"
"Die Bolt 24",Message,"apc_mDB_Label24\Config","apc_mDB_Label24\Now","24"
"Die Bolt 25",Message,"apc_mDB_Label25\Config","apc_mDB_Label25\Now","25"
"Die Bolt 26",Message,"apc_mDB_Label26\Config","apc_mDB_Label26\Now","26"
"Die Bolt 27",Message,"apc_mDB_Label27\Config","apc_mDB_Label27\Now","27"
