:IngredientName,IngredientType,Unit,Unit,Unit,Unit,Unit,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe
:Names,,"Grade","Config","pmx","All","NCWC","TEMPLATE","PROF-CORR","test","4/4 FG/KR VELVET 56""","4/4/4 FG/KR WHITE 52""","4/4/4 FG/KR WHITE 56""","7/3 DIG HARDCOAT 62""","7/3 DIG HARDCOAT 55''","7/3 DIG HARDCOAT 52""","7/3 DIG HARDCOAT 40""","10/3 DIG HARDCOAT 40""",".0025 MR LASER PRINT 62""","C - 1/1 MR Nylon 54""",".0013 mr matte nylon 52"" CE1200",".0012 MR NYLON 57""",".0013 PGS 57''",".0013 PGS 42''",".0012 MR NYLON 62''",".0017 MR NYLON 62''",".0013 mr matte nylon ce1200","2\2 KRTY 57""","C - 2/2 KRTY 57""","C - 2/2/2 KRTY 57""","7/3 polycarb. 37""","C - 2/2/2 KRTY ","4/4 FG/KR VELVET","2\2 4157 VELVET","2/2/2 VELVET WHITE 61"" 4157","C - .0013 MR Matte Nylon 57""","50/250 MR PET 48""","7/3 DIG HARDCOAT 45""","50/250 MR PET ","C - 4/4 FG/KR VELVET 56""","C - 4/4 FG/KR VELVET 52""","C - 4/4/4 FG/KR WHITE 56""","7/3 TXP KRTY 37""",".005 KR\TY AD","C - 4/4/4 FG/KR WHITE 52""",".003 mr antiblock37""","1/4 mr SR 62""","C - .005 KRTY AD 41 1/2""",".0012 MR ULTRA BURST 52""",".0013 PGS 62""",".00248 PCH-301 60""",".00248 PCH-301 62""",".0012 MR NYLON 52""",".0012 MR NYLON 53""",".0012 MR NYLON 59""","C - .0012 MR Nylon 57""","C - .0012 MR Nylon 62""","C - .0013 MR SR Matte Nylon 52""","C - .0013 MR SR Matte Nylon 57""","C - .0013 MR SR Matte Nylon 62""","C - .0013 MR SR Matte PET 42""",".0013 MR Matte Nylon 62""",".0012 MR NYLON 54.5""",".00170 PGS 57""","C - .0012 MR Nylon 60.5",".00170 PGS 42""",".00248 PCH-301 MEDICAL",".00148 R&D 52""",".00248 R&D 52""","4/6 DIGIKOTE 45""","1/2 DIGIKOTE 42''",".00248 PCH-301 52""",".00170 Nylon 57""",".001 fgp trans-sealing","C - .0012 MR Nylon 51""","C - .0013 MR SR Matte PET 62""","4/6 MR 40``",".00248 PCH-301 49""","C - 4/4 FG/KR VELVET 55""","C - 4/4 FG/KR VELVET 51""","C - 4/4/4 FG/KR WHITE 51''",".003 1/2  PCH-202 MEDICAL",".00248 PCH-101 60""",".00248 PCH-101 52""","1/2 DIGIKOTE 62''","2/3 digikote 52''","3/1.5 MR PET WHITE 51 1/2","C - .0017 MR SR Matte Nylon 52""","C - 4/4/4 FG/KR WHITE 55''","4/6 MR 55''","C - .0013 MR Matte Nylon 52""","ISO CAL VERIF2015 ",".0012 MR ULTRA BURST 57""",".0013 MR SR MATTE NYLON 53""","C - .0013 MR Matte Nylon 59''","1/4 MR SR 42""","3/1.5 MR PET laser print 62",".0012 MR NYLON 54","3/2 DIG HARDCOAT 40","C - .005 9J MR PET 58'' ","C - .005 9J MR PET 57'' ","3/2 DIG HARDCOAT 57""","7/3 DIG HARDCOAT 53""",".0025 mr antiblock44''","4/2 vinyl mr 40''","4/2 vinyl mr 38''",".00292 PCH-320 53''",".00392 PCH-321 53''",".0012 MR NYLON 49""",".00140 MR MATTE NYLON 62""","3/2 MR PET 57""",".0017 PGS 62''","C - .00133 ACETATE MR Matte Nylon 50""",".00140 MR MATTE NYLON 59""",".00130 MR MATTE NYLON 59""","C - 2/2 KRTY 61""","C - 2/2/2 KRTY 61""",".00248 PCH-301 48""",".00392 PCH-120 42""","1/4 PCH-203 42""","3/1.5 MR PET WHITE 55''",".00170 PET SR MR 57""","4/1 kr-ty toll coat 45"" 3m","1/4/1 kr-ty toll coat 45"" 3m",".003 FG TABBING 37""",".003 MR ANTIBLOCK 52""",".0025  MR ANTIBLOCK 52""","2/3 digikote 56''","2/3 mr sr matte 55''","C - .0017 MR SR Matte Nylon 62''","1/1 MR SR MATTE POLY 57''",".0025 MR LASER PRINT 55''","4/4/4 FG/KR WHITE 51""","3/2 digikote 52''",".00298 PCH-302 56""","C - .005 MR SR Matte PET 57""","3/2 DIG HARDCOAT 52""","C - .0017 MR  Nylon 62''",".00170 Nylon 52""","4/6 DIGIKOTE 62""","3/2 DIG HARDCOAT 53""",".00248 PCH-301 58""","4/4 FG/KR VELVET 55""","4/6 MR PET 53''","1.6 dig 62"" R&D",".004 PCH-203 52""",".004 PCH-203 42""","3/1.5 MR PET 45''",".0012 MR NYLON 52"" PGS",".00335 R&D MED LAY FLAT 52""",".00335 R&D MED LAY FLAT 52"" sur 2nd pass","C - .0012 MR PGS Nylon 43""",".0017 MR SR MATTE 62''","4/3 Digikote 62'' first pass","4/6 Digikote 62'' second pass",".00298 PCH-302 49""",".00170 PET SR MR 54""","10/3 DIG HARDCOAT 62""",".00162 PGS 62''","C - .0017 MR  Nylon 43""","3/2 DIG HARDCOAT 45""",".00170 PGS 62""",".00170 PET SR MR 62""","C - 4/4 FG/KR VELVET 51.5 ""","C - 4/4/4 FG/KR WHITE 51.5""",".0012 MR PGS NYLON 57""","C - .0013 MR ultra burst PET 42""","2/1.5 MR PET WHITE 56""","50/250 MR PET 52""","4/4/4 FG/KR WHITE 55""",".00248 PCH-301 56""",".004 PCH-203 37''",".0012 MR PGS NYLON 49""",".0025 MR LASER PRINT 60""",".00170 PET SR MR",".005 MR SR Matte PET 42""","7/3 DIG HARDCOAT 57""","4/6 DIGIKOTE 41""","1/2 DIGIKOTE 57""",".0012 MR NYLON 52"" USED 2020 MR 900FPM 350390410425",".0012 MR NYLON 43""",".00170 MR NYLON 43""","1/1 MR NYLON 54.5''",".0013 OPP 57'' R&D INNOVIA",".0012 MR OPP 57'' ","7/3 DIG/WHITE 40""","1/2 DIGIKOTE 45''",".0012 MR OPP 62'' ",".0012 MR OPP 52'' ",".00248 PCH-301 37""",".00335 R&D MED LAY FLAT 55""","C - 1/1 MR Nylon 52""",".0025 MR LASER PRINT 61""",".00392 PCH-321 45''","3/1.5 MR PET WHITE 50""",".00162 MR MYLON 45""",".0012 MR NYLON 45""",".00162 MR MYLON 43""",".00140 R&D OPP 62""",".00140 R&D OPP 52""",".00298 PCH-302 37""",".0013 MR SR MATTE NYLON 43""",".003 MR  49""",".003 MR  56""",".00170 PET 52""","50/250 DIGIKOTE 46`","2/3 digikote 42''","2\3 DIGIKOTE 40","50/250 DIGIKOTE 53""","2\2 KRTY 62""","2/2/2 KRTY 62""","1/1 MR PET 57''",".0013 MR SR MATTE NYLON 57""","C - .0013 MR Matte Nylon 49""","10/3 DIG HARDCOAT 39""",".0013 mr matte nylon 52""",".0013 mr matte nylon 49""","4/4/4 FG/KR WHITE 57.75""",".0013 mr matte nylon 43""","4/4 FG/KR VELVET 57.75""",".00450 PET/MR 55''","C - 4/4 FG/KR VELVET 55.5""",".005 MR SR Matte PET 52""",".00248 PCH-301 39""",".0012 MR NYLON 52""  2020 MR ",".0012 MR NYLON 52""  2020 MR",".00130 MR MATTE NYLON 59""  5/20/22  2020MR","50/250 MR PET 62''","4/4/4 FG/KR WHITE 55.5""",".00292 PCH-320 45""","4.5/1.5 hrdcoat texture 40""",".00100 59"" 1200 NYLON",".004 PCH-203 54''",".00100 60"" 1200 NYLON","1/2 DIGIKOTE 53""","10/2 SKRIM PP 52""","10/2 PP SCRIM 52""",".00170 Digikote 57""",".00100 57""  NYLON","5/2 DIGIKOTE 52""","3/2 DIGIKOTE 52""","3/2 DIGIKOTE 44""","1.25/2 fg/kr 40"" BRADY R&D","1.25/2/1.25 fg/kr 40"" BRADY R&D","C - .0013 MR SR Matte Nylon 40''",".0012 MR PGS NYLON 40",".00100 62"" 1200 NYLON","7/3 polycarb. 55""",".0012 sr matte nylon 40""",".0013 sr matte nylon 40""",".0012 MR OPP 59""","7/3 POLYCARBONATE 55""","B-.00170 PGS 42""",".0012 OPP 42""",".0012 MR OPP 42""",".00170 PMR 57""",".00170 MR 43""",".00152 MR PET 54.5""",".0012 MR POLYESTER 57""",".0012 MR NYLON 42""",".00167 ec1550aa 42""","50/250 MR PET 42",".00120 MR 43""","C - .0017 MR 62''","C - .0012 MR PET 57""","C - .0013 MR PET 57""","50/250 MR PET 39""","50\250 MR 39""",".002 MEDICAL TRIAL MATTE CHILL","1/2 pet 57''"
"ITEM 1",Analog,"GDR_Item1\Next","GDR_Item1\Config","","GDR_Item1\Next","",10,10,1.7,8.75,12,12,10,10,10,10,12.8,2.5,2,1.3,1.2,1.3,1.3,1.2,1.7,1.3,4,4,6,10,6,8.75,4,6,1.3,3,10,3,8.5,8.5,12,10,4.92,12,3,5,5,1.2,1.25,2.48,2.48,1.2,1.1,1.2,1.1,1.2,1.32,1.3,1.3,1.25,1.3,1.1,1.7,1.1,1.7,2.48,1.48,2.48,10,3,2.48,1.7,1,1.1,1.25,10,2.48,8.5,8.5,12,3,2.4,2.48,3,5,4.5,1.7,12,10,1.32,10,1.2,1.32,1.3,5,4.5,1.1,5,5,5,5,10,2.5,6,6,3,3.92,1.2,1.4,5,1.7,1.33,1.4,1.3,4,6,2.48,3.92,3.92,4.5,1.7,5,6,3,3,2.5,5,5,1.7,2,2.5,12,5,2.98,5,5,1.7,1.7,10,5,2.48,8.5,10,1.6,4,4,4.5,1.2,3.35,4.05,1.2,1.7,7,10,2.98,1.7,13,1.62,1.7,5,1.7,1.7,8.5,12,1.2,1.25,3.5,3,12,2.48,4,1.2,2.5,1.7,5,10,10,3,1.2,1.2,1.7,2,1.3,1.3,10,3,1.2,1.3,2.48,3.35,2,2.5,3.92,4.5,1.62,1.2,1.62,1.4,1.4,2.98,1.32,3,3,1.7,3,5,5,3,4,6,2,1.3,1.32,13,1.3,1.3,12,1.3,8.75,3,8.7,5,2.48,1.2,1.2,1.32,3,12,2.98,6,1,4,1,3,12,12,1.7,1,7,5,5,3.25,4.5,1.3,1.2,1,10,1.3,1.3,1.2,10,1.7,1.2,1.2,1.7,1.7,1.52,1.2,1.2,1.67,3,1.2,1.7,1.2,1.3,3,3,2,3
"ITEM 2",Analog,"GDR_Item2\Next","GDR_Item2\Config","","GDR_Item2\Next","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITEM 3",Analog,"GDR_Item3\Next","GDR_Item3\Config","","GDR_Item3\Next","",12,12,1.87,9,12.5,12.5,10.5,10.5,10.5,10.5,13.4,2.75,2.15,1.4,1.3,1.4,1.4,1.32,1.8,1.4,4.5,4.5,6.25,10.5,6.25,9,4.5,6.25,1.4,3.2,10.5,3.2,9,9,12.5,10.5,5.17,12.5,3.5,5.5,5.5,1.3,1.45,2.73,2.73,1.3,1.2,1.32,1.2,1.28,1.4,1.4,1.42,1.35,1.43,1.2,1.8,1.2,1.8,2.73,1.73,2.73,10.5,3.5,2.73,1.8,1.15,1.2,1.35,10.5,2.73,9,9,12.3,3.25,2.73,2.73,3.5,5.5,5,1.8,12.5,10.75,1.4,12,1.3,1.4,1.45,5.5,5,1.2,5.5,5.2,5.5,5.5,10.5,3,6.35,6.35,3.3,4.1,1.3,1.6,5.5,1.8,1.43,1.6,1.43,4.5,6.25,2.73,4.1,4.1,5,1.8,5.5,6.5,3.5,3.5,3,5.5,5.5,1.8,2.25,2.75,12.5,5.5,3.28,5.5,5.5,1.8,1.8,10.5,5.5,2.72,8.8,10.75,1.8,4.3,4.3,5,1.3,3.5,4.35,1.3,1.8,7.5,10.5,3.28,1.8,13.5,1.8,1.8,5.5,1.8,1.8,9,12.3,1.3,1.35,4,3.2,12.5,2.73,4.3,1.3,2.75,1.8,5.5,10.5,10.5,3.3,1.3,1.3,1.8,2.25,1.45,1.45,10.5,3.5,1.26,1.45,2.73,3.5,2.15,2.75,4.1,5,1.8,1.3,1.8,1.65,1.65,3.28,1.4,3.5,3.5,1.8,3.2,5.5,5.5,3.2,4.5,6.25,2.25,1.4,1.4,13.5,1.43,1.4,12.5,1.4,9,1.4,9.1,5.5,2.72,1.3,1.3,1.45,3.3,12.5,3.28,6.5,1.15,4.3,1.2,3.5,12.5,12.5,1.8,1.2,7.5,5.5,5.5,3.5,5,1.43,1.3,1.2,10.5,1.43,1.43,1.3,10.5,1.78,1.3,1.3,1.8,1.8,1.67,1.3,1.3,1.8,3.2,1.3,1.8,1.3,1.42,3.2,3.5,2.25,3.5
"ITEM 4",Analog,"GDR_Item4\Next","GDR_Item4\Config","","GDR_Item4\Next","",11,11,1.785,8.9,12.25,12.25,10.25,10.25,10.25,10.25,13.2,2.65,2.1,1.35,1.25,1.35,1.35,1.26,1.75,1.35,4.25,4.25,6.15,10.25,6.15,8.9,4.25,6.15,1.35,3.15,10.25,3.15,8.75,8.75,12.25,10.25,5.1,12.25,3.75,5.25,5.25,1.25,1.35,2.63,2.63,1.25,1.15,1.26,1.15,1.25,1.36,1.35,1.36,1.3,1.365,1.15,1.75,1.15,1.75,2.63,1.63,2.63,10.25,3.25,2.63,1.75,1.1,1.15,1.3,10.25,2.63,8.75,8.75,12.2,3.2,2.63,2.63,3.25,5.25,4.75,1.75,12.25,10.5,1.35,11,1.25,1.35,1.4,5.25,4.75,1.15,5.25,5.12,5.25,5.25,10.25,2.75,6.2,6.2,3.2,4.05,1.25,1.55,5.25,1.75,1.4,1.55,1.36,4.25,6.15,2.63,4.05,4.05,4.75,1.75,5.25,6.25,3.75,3.75,2.75,5.25,5.25,1.75,2.1,2.65,12.25,5.25,3.18,5.25,5.25,1.75,1.75,10.25,5.25,2.6,8.65,10.5,1.7,4.25,4.25,4.75,1.25,3.75,4.25,1.25,1.75,7.25,10.25,3.18,1.75,13.25,1.75,1.75,5.25,1.75,1.75,8.75,12.2,1.25,1.3,3.75,3.15,12.25,2.6,4.25,1.25,2.65,1.75,5.25,10.25,10.25,3.15,1.25,1.25,1.75,2.1,1.35,1.35,10.25,3.25,1.23,1.35,2.63,3.75,2.1,2.65,4.05,4.75,1.75,1.25,1.75,1.55,1.55,3.18,1.35,3.75,3.75,1.75,3.15,5.25,5.25,3.15,4.25,6.15,2.1,1.35,1.35,12.35,1.36,1.35,12.25,1.35,8.9,1.35,8.9,5.25,2.6,1.25,1.25,1.4,3.15,12.25,3.18,6.25,1.1,4.25,1.1,3.25,12.25,12.25,1.75,1.1,7.25,5.25,5.25,3.35,4.75,1.35,1.25,1.1,10.25,1.365,1.365,1.25,10.25,1.74,1.25,1.25,1.75,1.75,1.59,1.25,1.25,1.75,3.15,1.25,1.75,1.25,1.36,3.15,3.25,2.1,3.25
"ITEM 5",Analog,"GDR_Item5\Next","GDR_Item5\Config","","GDR_Item5\Next","",9,9,1.615,8.6,11.75,11.75,9.75,9.75,9.75,9.75,12.6,2.4,1.9,1.25,1.15,1.25,1.25,1.14,1.65,1.25,3.75,3.75,5.85,9.75,5.85,8.6,3.75,5.85,1.25,2.85,9.75,2.85,8.25,8.25,11.75,9.75,4.75,11.75,2.75,4.85,4.75,1.15,1.2,2.33,2.33,1.15,1.05,1.14,1.05,1.15,1.25,1,1.24,1.2,1.235,1.05,1.6,1.05,1.6,2.33,1.33,2.33,9.75,2.75,2.33,1.6,0.9,1.05,1.2,9.75,2.33,8.25,8.25,11.8,2.85,2.25,2.33,2.75,4.75,4.25,1.65,11.75,9.75,1.25,9,1.15,1.25,1.2,4.85,4.25,1.05,4.75,4.87,4.75,4.75,9.75,2.25,5.85,5.85,2.8,3.7,1.15,1.35,4.75,1.65,1.25,1.35,1.24,3.75,5.85,2.33,3.7,3.7,4.25,1.6,4.75,5.75,2.75,2.75,2.25,4.75,4.75,1.65,1.9,2.4,11.75,4.75,2.88,4.75,4.75,1.65,1.6,9.75,4.75,2.36,8.35,9.75,1.5,3.75,3.75,4.25,1.15,3.05,4.75,1.1,1.65,6.75,9.75,2.88,1.6,12.75,1.55,1.65,4.75,1.6,1.65,8.25,11.8,1.15,1.2,3.25,2.85,11.75,2.35,3.75,1.15,2.4,1.6,4.75,9.75,9.75,2.85,1.15,1.15,1.6,1.9,1.25,1.25,9.75,2.75,1.17,1.25,2.33,3.05,1.9,2.4,3.7,4.25,1.54,1.15,1.54,1.25,1.25,2.88,1.25,2.75,2.75,1.6,2.85,4.75,4.75,2.85,3.75,5.85,1.9,1.25,1.25,12.7,1.23,1.25,11.75,1.25,8.6,1.25,8.5,4.75,2.36,1.15,1.15,1.25,2.85,11.75,2.88,5.75,0.9,3.75,0.9,2.75,11.75,11.75,1.6,0.9,6.75,4.75,4.75,3,4.25,1.24,1.15,0.9,9.75,1.235,1.235,1.15,9.75,1.66,1.15,1.15,1.65,1.65,1.45,1.15,1.15,1.6,2.85,1.15,1.65,1.15,1.24,2.85,2.75,1.9,2.7
"ITEM 6",Analog,"GDR_Item6\Next","GDR_Item6\Config","","GDR_Item6\Next","",8,8,1.53,8.5,11.5,11.5,9.5,9.5,9.5,9.5,12.4,2.25,1.85,1.2,1.1,1.2,1.2,1.08,1.6,1.2,3.5,3.5,5.75,9.5,5.75,8.5,3.5,5.75,1.2,2.8,9.5,2.8,8,8,11.5,9.5,4.67,11.5,2.5,4.75,4.5,1.1,1.15,2.23,2.23,1.1,1,1.08,1,1.1,1.2,1.2,1.18,1.15,1.17,1,1.55,1,1.55,2.23,1.23,2.23,9.5,2.5,2.23,1.55,0.85,1,1.15,9.5,2.23,8,8,11.7,2.8,2.15,2.23,2.5,4.5,4,1.6,11.5,9.5,1.24,8,1.1,1.2,1.15,4.75,4,1,4.5,4.7,4.5,4.5,9.5,2,5.75,5.75,2.7,3.6,1.1,1.2,4.5,1.6,1.23,1.2,1.17,3.5,5.75,2.23,3.6,3.6,4,1.55,4.5,5.5,2.5,2.5,2,4.5,4.5,1.6,1.75,2.25,11.5,4.5,2.78,4.5,4.5,1.6,1.55,9.5,4.5,2.23,8.2,9.5,1.4,3.7,3.7,4,1.1,2.85,4.5,1.05,1.6,6.5,9.5,2.78,1.55,12.5,1.5,1.6,4.5,1.55,1.6,8,11.7,1.1,1.15,3,2.8,11.5,2.23,3.7,1.1,2.25,1.55,4.5,9.5,9.5,2.7,1.1,1.1,1.55,1.75,1.2,1.2,9.5,2.5,1.14,1.2,2.23,2.85,1.85,2.25,3.6,4,1.5,1.1,1.5,1.15,1.15,2.78,1.2,2.5,2.5,1.55,2.8,4.5,4.5,2.8,3.5,5.75,1.75,1.2,1.24,12.25,1.17,1.2,11.5,1.2,8.5,1.2,8.3,4.5,2.24,1.1,1.1,1.2,2.7,11.5,2.78,5.5,0.85,3.7,0.8,2.5,11.5,11.5,1.55,0.8,6.5,4.5,4.5,2.95,4,1.17,1.1,0.8,9.5,1.17,1.17,1.1,9.5,1.62,1.1,1.1,1.6,1.6,1.37,1.1,1.1,1.55,2.8,1.1,1.6,1.1,1.18,2.8,2.5,1.75,2.5
"ITEM 7",Analog,"GDR_Item7\Next","GDR_Item7\Config","","GDR_Item7\Next","",2,2,0,0,3.5,1.5,0,0,6,0,10.5,0,6,7.5,4.5,4,12,1,4.5,2.5,1.5,3,3,12,1.5,0,1.5,1.5,4.5,9,10,9,4.5,6.5,4.5,11.5,9.5,6.5,12,0.5,9,7.5,2.5,4,3.5,6.5,7.5,3,5,2.5,7.5,4.5,1.75,12,1,6.75,4.5,2.5,12,3.5,7,7,10,12.5,7,4.5,2.5,8,2,12.5,10,4.5,6.5,6.5,3.5,3.5,6,2.5,7.5,7,7.5,4.5,4.5,7,2,7.5,6.5,3,12,2,6.5,10,1,9,3,6.5,11,13,13,7,7,8.5,2,4,2,7.5,3.5,3,1,1,9.5,12,12,5.75,4.5,10,10,14,7,5,4.5,4,2,4,3.5,6,7.5,5.5,4,7,2,6.5,2,6,4,5,6,1.5,7.5,12,8,6.5,0,0,11,2.5,1,0,8.5,5.5,1,2,11,9,1.5,1.5,6,6.5,4,11.5,5,6.5,4.5,6,14,8,3,5.5,11.5,4,11,2.5,7,0,12,5,4,4,12,14,2,7,14.5,4.5,6,2,11,7,10,10,11,2,6,8.5,11.5,8.5,4.5,6.5,9,9.5,9.5,6,1,1,4,4,8.5,12.5,6.5,8,4,11.5,3.5,11.5,4.5,6.5,15.5,7,7,3,0.5,4,10.5,10.5,1.5,7.5,3.5,5.5,3.5,3.5,3.75,4,5.5,5.5,9.5,12,12,13,11,2,5,12,12.5,3,5,11,11.5,11.5,4.5,11.5,6.5,4,11.5,12,11.5,11.5,1.5,4.5,4.5,10.5,10.5,6.5,4
"ITEM 8",Analog,"GDR_Item8\Next","GDR_Item8\Config","","GDR_Item8\Next","",2,2,0,0,3.5,1.5,0,0,6,0,10.5,0,6,7.5,4.5,4,12,1,4.5,2.5,1.5,3,3,12,1.5,0,1.5,1.5,4.5,9,10,9,4.5,6.5,4.5,11.5,9.5,6.5,12,0.5,9,7.5,2.5,4,3.5,6.5,7.5,3,5,2.5,7.5,4.5,1.75,12,1,6.75,4.5,2.5,12,3.5,7,7,10,12.5,7,4.5,2.5,8,2,12.5,10,4.5,6.5,6.5,3.5,3.5,6,2.5,7.5,7,7.5,4.5,4.5,7,2,7.5,6.5,3,12,2,6.5,10,1,9,3,6.5,11,13,13,7,7,8.5,2,4,2,7.5,3.5,3,1,1,9.5,12,12,5.75,4.5,10,10,14,7,5,4.5,4,2,4,3.5,6,7.5,5.5,4,7,2,6.5,2,6,4,5,6,1.5,7.5,12,8,6.5,0,0,11,2.5,1,0,8.5,5.5,1,2,11,9,1.5,1.5,6,6.5,4,11.5,5,6.5,4.5,6,14,8,3,5.5,11.5,4,11,2.5,7,0,12,5,4,4,12,14,2,7,14.5,4.5,6,2,11,7,10,10,11,2,6,8.5,11.5,8.5,4.5,6.5,9,9.5,9.5,6,1,1,4,4,8.5,12.5,6.5,8,4,11.5,3.5,11.5,4.5,4,15.5,7,7,3,0.5,4,10.5,10.5,1.5,7.5,3.5,5.5,3.5,3.5,3.75,4,5.5,5.5,9.5,12,12,13,11,2,5,12,12.5,3,5,11,11.5,11.5,4.5,11.5,6.5,4,11.5,12,11.5,11.5,1.5,4.5,4.5,10.5,10.5,6.5,4
"ITEM 9",Analog,"GDR_Item9\Next","GDR_Item9\Config","","GDR_Item9\Next","",0.75,0.75,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.75,2,0,0,0,0,0,1,1,0,1,0,0.5,0,0,0,0,1,0,1,0,0,0,1,0,0,1.5,0,0,0,1,0,0,0,0,1,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,1,1,0,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,1,1,0,1.5,1.5,0,1.25,0,1.5,2,1,1,0,0,0,0,0,1.5,0,0,1.25,0,1,1.25,1.5,1,1,1.5,0,0,0,1.5,0,0,0,0,0,0,0,0,1.25,1.5,1,0,1.25,1.5,1.25,0.5,0,0,1.25,0,1,1.25,1.25,0.5,1.5,1.25,1,1.5,1.25,1,1.5,1.5,1.25,0,1,0.75,1.25,1.25,1.25,0,1,1,2,1,1.25,1,1,1.25,1,1,1,0.75,0.75,1.25,1.25,1,1,0.5,0.25,1.25,1.25,1,1.5,1.5,1,0.5,1,1,0.5,1,1,1,1,1,1.5,1.25,1,1.25,0.25,0,0.5,1.25,1.25,2,0.5,0,0,1.5,1,1,0,0,1.5,1,1.5,1.5,1,1,1.25,0,1.25,1,0.5,1,1,1,1,1,1,1,0.5,0,0,1,0,1,1.25,1.5,1.5,0,1,1,1
