:IngredientName,IngredientType,Unit,Recipe
:Names,,"S1_AirProfile","Profile"
"Date",Message,"S1_AirProfile\strDate","10/03/2017"
"S1_AirProfile_High",Analog,"S1_AirProfile_High",2.000579834
"S1_AirProfile_Low",Analog,"S1_AirProfile_Low",-0.01986455917
"S1_AirProfile_Avg",Analog,"S1_AirProfile_Avg",-5.563467741e-005
"S1_AirProfile_TGT",Analog,"S1_AirProfile_TGT",0
"S1_AirProfile_ScaleMax",Analog,"S1_AirProfile_ScaleMax",0.025
"S1_AirProfile_ScaleMin",Analog,"S1_AirProfile_ScaleMin",-0.025
"S1_AP_1",Analog,"S1_AP_1",-0.01801145077
"S1_AP_2",Analog,"S1_AP_2",-0.01352703571
"S1_AP_3",Analog,"S1_AP_3",-0.01349794865
"S1_AP_4",Analog,"S1_AP_4",-0.01384055614
"S1_AP_5",Analog,"S1_AP_5",-0.01421046257
"S1_AP_6",Analog,"S1_AP_6",-0.0112401247
"S1_AP_7",Analog,"S1_AP_7",-0.01776790619
"S1_AP_8",Analog,"S1_AP_8",-0.01732337475
"S1_AP_9",Analog,"S1_AP_9",-0.01810216904
"S1_AP_10",Analog,"S1_AP_10",-0.01986455917
"S1_AP_11",Analog,"S1_AP_11",-0.01830780506
"S1_AP_12",Analog,"S1_AP_12",-0.01540005207
"S1_AP_13",Analog,"S1_AP_13",-0.01552903652
"S1_AP_14",Analog,"S1_AP_14",-0.01421308517
"S1_AP_15",Analog,"S1_AP_15",-0.01090037823
"S1_AP_16",Analog,"S1_AP_16",-0.01394677162
"S1_AP_17",Analog,"S1_AP_17",-0.01556122303
"S1_AP_18",Analog,"S1_AP_18",-0.01394867897
"S1_AP_19",Analog,"S1_AP_19",-0.01247489452
"S1_AP_20",Analog,"S1_AP_20",-0.01274931431
"S1_AP_21",Analog,"S1_AP_21",-0.01190936565
"S1_AP_22",Analog,"S1_AP_22",-0.01341533661
"S1_AP_23",Analog,"S1_AP_23",-0.009422421455
"S1_AP_24",Analog,"S1_AP_24",-0.01163613796
"S1_AP_25",Analog,"S1_AP_25",-0.01337170601
"S1_AP_26",Analog,"S1_AP_26",-0.01316797733
"S1_AP_27",Analog,"S1_AP_27",-0.01058244705
"S1_AP_28",Analog,"S1_AP_28",-0.007932186127
"S1_AP_29",Analog,"S1_AP_29",-0.01032328606
"S1_AP_30",Analog,"S1_AP_30",-0.01034402847
"S1_AP_31",Analog,"S1_AP_31",-0.009043693542
"S1_AP_32",Analog,"S1_AP_32",-0.007416248322
"S1_AP_33",Analog,"S1_AP_33",-0.007810592651
"S1_AP_34",Analog,"S1_AP_34",-0.005873322487
"S1_AP_35",Analog,"S1_AP_35",-0.005846977234
"S1_AP_36",Analog,"S1_AP_36",-0.00627553463
"S1_AP_37",Analog,"S1_AP_37",-0.002316713333
"S1_AP_38",Analog,"S1_AP_38",-0.004755496979
"S1_AP_39",Analog,"S1_AP_39",-0.007793784142
"S1_AP_40",Analog,"S1_AP_40",-0.00630235672
"S1_AP_41",Analog,"S1_AP_41",-0.006458044052
"S1_AP_42",Analog,"S1_AP_42",-0.003006458282
