:IngredientName,IngredientType,Unit,Unit,Recipe
:Names,,"Config","TGT","TEMPLATE"
"Date",Message,"apc_TGT\strDateConfig","apc_TGT\strDateNext","7/17/2015"
"Time",Message,"apc_TGT\strTimeConfig","apc_TGT\strTimeNext","9:51:10 PM"
"Author",Message,"apc_TGT\strAuthorConfig","apc_TGT\strAuthorNext","gln"
"Product Target",Analog,"apc_TGT_Config","apc_TGT_Next",10
"Target 1",Analog,"apc_TGT1_Config","apc_TGT1_Next",10.5
"Target 2",Analog,"apc_TGT2_Config","apc_TGT2_Next",10.25
"Target 3",Analog,"apc_TGT3_Config","apc_TGT3_Next",10.15
"Target 4",Analog,"apc_TGT4_Config","apc_TGT4_Next",10
"Target 5",Analog,"apc_TGT5_Config","apc_TGT5_Next",10
"Target 6",Analog,"apc_TGT6_Config","apc_TGT6_Next",10
"Target 7",Analog,"apc_TGT7_Config","apc_TGT7_Next",10
"Target 8",Analog,"apc_TGT8_Config","apc_TGT8_Next",10
"Target 9",Analog,"apc_TGT9_Config","apc_TGT9_Next",10
"Target 10",Analog,"apc_TGT10_Config","apc_TGT10_Next",10
"Target 11",Analog,"apc_TGT11_Config","apc_TGT11_Next",10
"Target 12",Analog,"apc_TGT12_Config","apc_TGT12_Next",10
"Target 13",Analog,"apc_TGT13_Config","apc_TGT13_Next",10
"Target 14",Analog,"apc_TGT14_Config","apc_TGT14_Next",10
"Target 15",Analog,"apc_TGT15_Config","apc_TGT15_Next",10
"Target 16",Analog,"apc_TGT16_Config","apc_TGT16_Next",10
"Target 17",Analog,"apc_TGT17_Config","apc_TGT17_Next",10
"Target 18",Analog,"apc_TGT18_Config","apc_TGT18_Next",10
"Target 19",Analog,"apc_TGT19_Config","apc_TGT19_Next",10
"Target 20",Analog,"apc_TGT20_Config","apc_TGT20_Next",10
"Target 21",Analog,"apc_TGT21_Config","apc_TGT21_Next",10
"Target 22",Analog,"apc_TGT22_Config","apc_TGT22_Next",10
"Target 23",Analog,"apc_TGT23_Config","apc_TGT23_Next",10
"Target 24",Analog,"apc_TGT24_Config","apc_TGT24_Next",10
"Target 25",Analog,"apc_TGT25_Config","apc_TGT25_Next",10
"Target 26",Analog,"apc_TGT26_Config","apc_TGT26_Next",10
"Target 27",Analog,"apc_TGT27_Config","apc_TGT27_Next",10
"Target 28",Analog,"apc_TGT28_Config","apc_TGT28_Next",10
"Target 29",Analog,"apc_TGT29_Config","apc_TGT29_Next",10
"Target 30",Analog,"apc_TGT30_Config","apc_TGT30_Next",10
"Target 31",Analog,"apc_TGT31_Config","apc_TGT31_Next",10
"Target 32",Analog,"apc_TGT32_Config","apc_TGT32_Next",10
"Target 33",Analog,"apc_TGT33_Config","apc_TGT33_Next",10
"Target 34",Analog,"apc_TGT34_Config","apc_TGT34_Next",10.15
"Target 35",Analog,"apc_TGT35_Config","apc_TGT35_Next",10.25
"Target 36",Analog,"apc_TGT36_Config","apc_TGT36_Next",10.5
"Target 37",Analog,"apc_TGT37_Config","apc_TGT37_Next",7.1
"Target 38",Analog,"apc_TGT38_Config","apc_TGT38_Next",7
"Target 39",Analog,"apc_TGT39_Config","apc_TGT39_Next",6.9
"Target 40",Analog,"apc_TGT40_Config","apc_TGT40_Next",6.8
"Target 41",Analog,"apc_TGT41_Config","apc_TGT41_Next",6.7
"Target 42",Analog,"apc_TGT42_Config","apc_TGT42_Next",6.6
"Target 43",Analog,"apc_TGT43_Config","apc_TGT43_Next",6.5
"Target 44",Analog,"apc_TGT44_Config","apc_TGT44_Next",6.4
"Target 45",Analog,"apc_TGT45_Config","apc_TGT45_Next",6.3
"Target 46",Analog,"apc_TGT46_Config","apc_TGT46_Next",6.2
"Target 47",Analog,"apc_TGT47_Config","apc_TGT47_Next",6.1
"Target 48",Analog,"apc_TGT48_Config","apc_TGT48_Next",6
"Target 49",Analog,"apc_TGT49_Config","apc_TGT49_Next",5.9
"Target 50",Analog,"apc_TGT50_Config","apc_TGT50_Next",5.8
"Target 51",Analog,"apc_TGT51_Config","apc_TGT51_Next",5.7
"Target 52",Analog,"apc_TGT52_Config","apc_TGT52_Next",5.6
"Target 53",Analog,"apc_TGT53_Config","apc_TGT53_Next",5.5
"Target 54",Analog,"apc_TGT54_Config","apc_TGT54_Next",5.4
"Target 55",Analog,"apc_TGT55_Config","apc_TGT55_Next",5.3
"Target 56",Analog,"apc_TGT56_Config","apc_TGT56_Next",5.2
"Target 57",Analog,"apc_TGT57_Config","apc_TGT57_Next",5.1
"Target 58",Analog,"apc_TGT58_Config","apc_TGT58_Next",5
