# REV = 1

# PAC CONTROL TAG DATABASE DUMP
# ----------------------------------------------------------------
# NAME :         C:\AIS_OPTO_APPLICATION\TWRAP-IN-L12_SSS\TWRAP-IN-L12_SSS.idb
# VERSION :      R9.1a
# TIME/DATE :    12:21:0 10/1/2024
# 
# INSTRUCTIONS : This file gets written with the corresponding IDB file.
#                It is not read by PAC Control. It may be used by other programs to 
#                get basic information about the tag database.
#                
#                Each tag (e.g. variables, I/O units and points, charts, etc.) is 
#                listed here. 
#                
#                More columns or tag types (e.g. TAG2) may be added in the future.
#                
#                
# BITMASK INFO:  Here is the list of bitmasks used by PAC Control.
#                More than one bit may be set for a given tag. Currently, the only types
#                that can have more than one bit set at a time are digital points with 
#                features (e.g. digital input with counter) or a pointer.
#                
#                BITMASK 0
#                -------------------------------------------
#                DIN_SMART                        0x40000000
#                DIN_COUNTER                      0x00000001
#                DIN_COUNTER_QUADRATURE           0x00000002
#                DOUT_SMART                       0x10000000
#                DOUT_TPO                         0x00010000
#                DIN_ON_PULSE_MEAS                0x00000010
#                DIN_OFF_PULSE_MEAS               0x00000020
#                DIN_FREQUENCY                    0x00000040
#                DIN_PERIOD                       0x00000080
#                DIN_ON_TIME_TOTALIZER            0x00000100
#                DIN_OFF_TIME_TOTALIZER           0x00000200
#                
#                BITMASK 1
#                -------------------------------------------
#                AIN                              0x00000001
#                AOUT                             0x00000002
#                PID_LOOP    (mistic)             0x00000200
#                PID_LOOP_2  (OptoMMP)            0x00000004
#                DIGITAL_EVENT_REACTION           0x00000008
#                ANALOG_EVENT_REACTION            0x00000010
#                EVENT_REACTION_GROUP             0x00000080
#                CHART                            0x00000100
#                
#                BITMASK 2
#                -------------------------------------------
#                BOARD_SMART_DIGITAL              0x00000002
#                BOARD_REMOTE_SIMPLE_DIGITAL      0x00000004
#                BOARD_SMART_ANALOG               0x00000008
#                BOARD_SMART_ANALOG_B200          0x00001000
#                BOARD_SMART_DIGITAL_SNAP         0x00002000
#                BOARD_SMART_ANALOG_SNAP          0x00004000
#                BOARD_SMART_DIGITAL_B100         0X00010000
#                BOARD_REMOTE_SIMPLE_DIGITAL_SNAP 0X00020000
#                BOARD_DIGITAL_SNAP_64            0x00040000
#                BOARD_MIXED_SNAP_64              0x00080000
#                BOARD_DIGITAL_SNAP_UIO_64        0x00100000
#                BOARD_MIXED_SNAP_UIO_64          0x00200000
#                BOARD_MIXED_SNAP_UIO_AD64        0x00400000
#                BOARD_MIXED_SNAP_SIO_AD64        0x00800000
#                BOARD_SNAP_PAC_R1                0x10000000
#                BOARD_SNAP_PAC_R2                0x20000000
#                BOARD_GENERIC_OPTOMMP            0x40000000
# 
#                BITMASK 3
#                -------------------------------------------
#                VARIABLE_INTEGER                 0x00000008
#                VARIABLE_FLOAT                   0x00000010
#                VARIABLE_TIMER                   0x00000020
#                VARIABLE_STRING                  0x00000040
#                VARIABLE_POINTER                 0x80000000
#                TABLE_INTEGER                    0x00000100
#                TABLE_FLOAT                      0x00000200
#                TABLE_STRING                     0x00000800
#                TABLE_POINTER                    0x00001000
#                VARIABLE_UP_TIMER                0X00002000
#                VARIABLE_INTEGER_64              0X00004000
#                TABLE_INTEGER_64                 0X00010000
#                TABLE_NULL                       0X00020000
#                VARIABLE_STREAM                  0x00040000




#  (Please note that the TAG1 definition may have columns added in the future.
#   Any new columns will be added to the right of the existing ones.)
#   This file should be parsed accordingly.)

# TAG1,NAME,ID,BITMASK_0,BITMASK_1,BITMASK_2,BITMASK_3,TABLE_LENGTH,STRING_WIDTH

TAG1,Act_Output                                        ,38   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,BW_Profile_86                                     ,40   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Coutner_inputs                                    ,8    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,EOS_Data                                          ,31   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Head_Temp_Control                                 ,41   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Powerup                                           ,0    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Scan                                              ,5    ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Scratchpad                                        ,42   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Shutter_Indication                                ,12   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Stretcher_Ctrl                                    ,15   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Utility                                           ,33   ,00000000,00000100,00000000,00000000,0    ,0   
TAG1,Line12_PCU_111                                    ,4    ,00000000,00000000,00000020,00000000,0    ,0   
TAG1,Line12_SSIU_110                                   ,3    ,00000000,00000000,10000000,00000000,0    ,0   
TAG1,Auto_Man_FDBK                                     ,234  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,E_Stop                                            ,108  ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,E_Stop_AB                                         ,229  ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,Edge_Detect_IP                                    ,225  ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,Flag_Insert                                       ,226  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Fwd_Prox_Switch                                   ,7    ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,Gauge_Auto_AB                                     ,231  ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,Gauge_Splice_AB                                   ,230  ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,Green_Lamp                                        ,85   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Head_Encoder                                      ,15   ,40000002,00000000,00000000,00000000,0    ,0   
TAG1,Ion_Heater                                        ,227  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Line_Speed_DEC                                    ,193  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Line_Speed_INC                                    ,192  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Motor_Brake                                       ,194  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Motor_Comp_SW                                     ,224  ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,Motor_Dir                                         ,119  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Motor_FWD_SW                                      ,223  ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,Motor_On_Off                                      ,118  ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Motor_On_SW                                       ,222  ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,Off_Sheet                                         ,91   ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,Off_Sheet_AB                                      ,228  ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,On_Sheet                                          ,0    ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,Red_Lamp                                          ,84   ,10000000,00000000,00000000,00000000,0    ,0   
TAG1,Reference_SW                                      ,201  ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,Rev_Prox_Switch                                   ,8    ,40000000,00000000,00000000,00000000,0    ,0   
TAG1,Sample_SW                                         ,200  ,40000000,00000000,00000000,00000000,0    ,0   
